,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
421,TOR,1610612761,2018-01-05,129,110,0.558,0.303,0.821,43,11,5,0.7222222222222222,0.7,1619.392232987666,1519.7159330080244,3,19.72469528862601,1
422,UTA,1610612762,2018-01-05,91,99,0.452,0.364,0.5,53,17,5,0.42105263157894735,0.2,1477.3284467198719,1545.0350964101033,-1,13.549775890009219,0
423,DEN,1610612743,2018-01-05,99,91,0.442,0.4,0.6,37,10,1,0.5405405405405406,0.8,1545.0350964101033,1477.3284467198719,1,19.296158968149026,1
424,MEM,1610612763,2018-01-05,100,102,0.407,0.333,0.769,46,16,9,0.3157894736842105,0.3,1413.8620167297136,1542.2270113980337,-1,17.022609964531085,0
425,WAS,1610612764,2018-01-05,102,100,0.393,0.37,0.765,48,14,7,0.5789473684210527,0.4,1542.2270113980337,1413.8620167297136,3,18.07771876878525,1
426,BOS,1610612738,2018-01-06,87,85,0.378,0.278,0.533,44,5,13,0.7619047619047619,0.6,1603.7368267260536,1468.8181724233907,5,15.650513735744157,1
427,BKN,1610612751,2018-01-06,85,87,0.33,0.194,0.864,55,18,11,0.39473684210526316,0.5,1468.8181724233907,1603.7368267260536,2,16.132669017154345,0
428,GSW,1610612744,2018-01-06,121,105,0.415,0.333,0.811,54,17,10,0.7948717948717948,0.9,1657.9196463946103,1488.9307857348767,3,18.595428616608267,1
429,LAC,1610612746,2018-01-06,105,121,0.429,0.273,0.8,45,18,7,0.4594594594594595,0.7,1488.9307857348767,1657.9196463946103,-1,14.011704013091107,0
430,ORL,1610612753,2018-01-06,127,131,0.5,0.378,0.682,46,20,2,0.3076923076923077,0.3,1366.6941725820209,1558.9519864972096,-3,14.882000016931386,0
431,CLE,1610612739,2018-01-06,131,127,0.5,0.441,0.71,45,18,2,0.6578947368421053,0.4,1558.9519864972096,1366.6941725820209,-1,18.118593103842432,1
432,CHI,1610612741,2018-01-06,86,125,0.375,0.313,0.8,33,16,6,0.358974358974359,0.4,1459.3546129598128,1473.7475501163983,1,19.837953708478995,0
433,IND,1610612754,2018-01-06,125,86,0.558,0.484,0.778,49,13,4,0.5,0.5,1473.7475501163983,1459.3546129598128,-5,14.44820923474088,1
434,SAC,1610612758,2018-01-06,106,98,0.447,0.36,0.765,39,9,4,0.32432432432432434,0.3,1367.7623192488295,1551.9903992672037,-3,13.605517722100341,1
435,DEN,1610612743,2018-01-06,98,106,0.461,0.382,0.714,46,26,6,0.5526315789473685,0.4,1551.9903992672037,1367.7623192488295,2,18.801651162534647,0
436,NOP,1610612740,2018-01-06,98,116,0.423,0.207,0.929,38,16,6,0.5135135135135135,0.5,1514.5658950587535,1548.365052690589,1,19.036710671052433,0
437,MIN,1610612750,2018-01-06,116,98,0.489,0.5,0.905,47,10,5,0.6,0.7,1548.365052690589,1514.5658950587535,-2,19.855407435888402,1
438,MIL,1610612749,2018-01-06,110,103,0.488,0.318,0.833,45,16,6,0.5405405405405406,0.4,1509.1640699416416,1545.059796613102,-1,18.784818297412713,1
439,WAS,1610612764,2018-01-06,103,110,0.474,0.381,0.724,34,14,6,0.5897435897435898,0.8,1545.059796613102,1509.1640699416416,4,17.930733264982372,0
440,UTA,1610612762,2018-01-07,102,103,0.451,0.313,0.9,44,11,5,0.41025641025641024,0.1,1470.3731438627715,1492.827052389749,-2,14.566130721689026,0
441,MIA,1610612748,2018-01-07,103,102,0.482,0.31,0.7,37,8,6,0.5526315789473685,0.6,1492.827052389749,1470.3731438627715,3,17.64150718850761,1
442,SAS,1610612759,2018-01-07,110,111,0.494,0.478,0.731,42,14,5,0.675,0.4,1564.417941248729,1496.6461812361747,1,13.986990056076934,0
