,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,ODDS_A,ODDS_OPP,WINNER
122,NOP,1610612740,2021-02-01,109,118,0.396,0.3,0.833,46,10,5,0.3888888888888889,0.5,1469.0028578984757,1438.1039835208385,-1,19.796933194482452,1.72,2.2,0
123,SAC,1610612758,2021-02-01,118,109,0.477,0.326,0.769,52,20,8,0.42105263157894735,0.375,1438.1039835208385,1469.0028578984757,-1,18.20187048099972,2.2,1.72,1
124,TOR,1610612761,2021-02-02,123,108,0.482,0.444,0.92,40,11,4,0.4,0.2222222222222222,1502.1317556476065,1414.0057683237524,1,16.17194115466931,1.4,3.11,1
125,ORL,1610612753,2021-02-02,108,123,0.461,0.368,0.857,46,17,4,0.38095238095238093,0.4,1414.0057683237524,1502.1317556476065,-3,15.865010379335038,3.11,1.4,0
126,DET,1610612765,2021-02-02,105,117,0.419,0.333,0.9,46,15,5,0.25,0.1111111111111111,1447.6505458859638,1598.385438760255,-1,16.0181944237207,6.85,1.12,0
127,UTA,1610612762,2021-02-02,117,105,0.463,0.381,0.862,44,13,6,0.75,0.8,1598.385438760255,1447.6505458859638,-1,21.96842991574714,1.12,6.85,1
128,SAS,1610612759,2021-02-03,111,108,0.448,0.269,0.75,45,7,6,0.5238095238095238,0.4,1492.4333591565228,1387.334724448069,-2,18.504568258083022,1.32,3.56,1
129,MIN,1610612750,2021-02-03,108,111,0.457,0.394,0.818,49,10,9,0.25,0.1111111111111111,1387.334724448069,1492.4333591565228,-1,17.864124286323175,3.56,1.32,0
130,NYK,1610612752,2021-02-03,107,103,0.483,0.5,0.667,47,17,4,0.4090909090909091,0.4,1475.6594336310657,1482.9564069101014,-2,16.08857787239965,2.02,1.84,1
131,CHI,1610612741,2021-02-03,103,107,0.489,0.167,0.688,38,9,3,0.42105263157894735,0.3333333333333333,1482.9564069101014,1475.6594336310657,1,18.932556681017463,1.84,2.02,0
132,MIA,1610612748,2021-02-03,100,103,0.434,0.343,0.727,44,16,2,0.35,0.4,1431.0769945983113,1428.57745630241,-1,19.60405151605006,1.24,4.3,0
133,WAS,1610612764,2021-02-03,103,100,0.417,0.405,0.72,49,17,5,0.23529411764705882,0.25,1428.57745630241,1431.0769945983113,-1,18.503216759140088,4.3,1.24,1
134,CHA,1610612766,2021-02-03,111,118,0.448,0.378,0.826,37,19,4,0.47619047619047616,0.5,1496.9504044737118,1556.806367925855,3,18.34566156014545,3.43,1.34,0
